t_val,u_val,du_dt_val,d2u_dt2_val,f_val
16.2,0.0797459398075076,0.144036246942524,-0.241712309699373,0.553634933534655
16.3,0.0928459476104255,0.117065895277531,-0.295974342323591,0.377155325023334
16.4,0.102994925144419,0.0852168963489522,-0.33891979816293,0.185639723885791
16.5,0.109764075716756,0.0497138515427598,-0.368615280375118,-0.0132767472230595
16.6,0.112856755986345,0.0119599584437408,-0.38355881565598,-0.211663916317326
16.7,0.11211955208104,-0.0265272858244113,-0.382763181193041,-0.401612713012126
16.8,0.107561361841202,-0.0641442938818959,-0.366100940534407,-0.575550478201343
16.9,0.0993447751145674,-0.099330844967418,-0.334135083786982,-0.72654286207923
17,0.0877880171065162,-0.130604046335391,-0.288370714708072,-0.848570274784605
17.1,0.0733553049630241,-0.156679985202355,-0.230938723006044,-0.93676786845267
17.2,0.0566098793796231,-0.176502958040998,-0.164542748646239,-0.987619483347477
17.3,0.0382371359764466,-0.189340397718968,-0.0920171261238387,-0.999097826054726
17.4,0.018947912399123,-0.194701310608309,-0.0165361622475583,-0.970745291272682
17.5,-0.000486326255879174,-0.19249254373852,0.0592566122218082,-0.903692205091507
17.6,-0.0193185464695061,-0.18279888803978,0.132360115783112,-0.800611762458994
17.7,-0.0368173673148717,-0.166065253353848,0.200404656104818,-0.665613455333759
17.8,-0.052310218552714,-0.142904496937987,0.260798273026865,-0.504079240209085
17.9,-0.06520021007454,-0.114203564082499,0.311341618758114,-0.322448976491309
18,-0.074987476838576,-0.0810375402420434,0.349933068673184,-0.127963689627405
18.1,-0.081284342241594,-0.0446763639953729,0.374813352030464,0.0716231057291704
18.2,-0.0838468133546623,-0.00655697266363411,0.384755703518165,0.268354513880097
18.3,-0.0825649563290332,0.0318157382781811,0.378958174329571,0.454387474404269
18.4,-0.0775015650716311,0.0688348234124219,0.357700167519357,0.622305440226531
18.5,-0.0688642819955387,0.102979115217118,0.321824541654276,0.765414051945343
18.6,-0.057019316204787,0.132840874733671,0.272982426220594,0.87800802081681
18.7,-0.0424470295774575,0.157227243974496,0.213325811503494,0.955598580612839
18.8,-0.0257554521599863,0.175192779231043,0.145465061365849,0.995092440565539
18.9,-0.00761875683627025,0.186070922952235,0.072233250041372,0.994915105108674
19,0.011231227356015,0.189472035528575,-0.00339826049549807,0.955073644047295
19.1,0.0300379501501135,0.185322317293167,-0.078657064243764,0.877156410706918
19.2,0.048054234931548,0.173781628325253,-0.15068616632823,0.76426971929878
19.3,0.064562721095914,0.155312347665509,-0.216973476244255,0.620914005974762
19.4,0.0789049985926564,0.130612109808012,-0.275095182796181,0.452804410639987
19.5,0.0905020648305785,0.100609685333988,-0.322787278755435,0.266642932359937
19.6,0.0988810071651098,0.0664488888308461,-0.358025704882951,0.0698512418071273
19.7,0.103686334655286,0.029450954818497,-0.379083191205223,-0.129725197328186
19.8,0.104711679614375,-0.00890054863403742,-0.38482679058456,-0.324129902217564
19.9,0.101889570761493,-0.047066537212487,-0.374612558118918,-0.505612570756576
20,0.0953285155431061,-0.0834308222496452,-0.348903364727245,-0.666938061652262
20.1,0.0852689451815386,-0.116515499740183,-0.308602083561976,-0.80167483667463
20.2,0.0721289097221166,-0.144898135106659,-0.255858820400581,-0.904451365790017
20.3,0.0564178107742489,-0.167457811924176,-0.192964089698813,-0.97117027311269
20.4,0.0388001958725267,-0.183296643765797,-0.122868387822187,-0.999171686351379
20.5,0.0199679710713367,-0.191856529855369,-0.0484070843702916,-0.987339277523826
20.6,0.000668402228304735,-0.192848798523125,0.027430392169527,-0.936144767430661
20.7,-0.0183484966889031,-0.1863104045612,0.101957776726253,-0.847629119635683
20.8,-0.0363438455285941,-0.172513066508506,0.17244866330532,-0.725321173689191
20.9,-0.0526197603307738,-0.151995764864532,0.236397364079717,-0.574096961431039
21,-0.0665408006673176,-0.125523741270855,0.291395298398422,-0.399985314988351
21.1,-0.0775583377555671,-0.0940949424546628,0.335275489225388,-0.209927516263729
21.2,-0.0852332131018932,-0.0589064455256189,0.366125182344338,-0.0115005699302649
21.3,-0.0892571479014791,-0.0213391909573717,0.3824879410873,0.187384867834179
21.4,-0.0894648072390882,0.0171094076324938,0.383402345686299,0.378799862245212
21.5,-0.0858464839254227,0.0548697150088923,0.368633054818635,0.555113301520626
21.6,-0.078551657556716,0.0903829972636814,0.338721275931793,0.709296125225733
21.7,-0.0678754025292169,0.122193061969066,0.294926403529407,0.835201550731443
21.8,-0.0542562523093984,0.148995610562029,0.239281347914232,0.927810126040398
21.9,-0.0382536405983821,0.169732100910026,0.174264855274072,0.983429839498283
22,-0.0205105702925744,0.183588631581914,0.102796884565406,0.999843308647691
22.1,-0.00175378091705725,0.19008362239107,0.0277347724771728,0.97639618026933
22.2,0.0172725925937774,0.188998421194028,-0.047959549919195,0.914023217379954
22.3,0.0358083478584409,0.180427880191178,-0.121579958414194,0.815211033180694
22.4,0.0531231812238669,0.164724218281063,-0.190520996657088,0.683898957635702
22.5,0.0685304246693342,0.142481014611491,-0.252267756113197,0.52532198881773
22.6,0.0814210747517693,0.11454111258419,-0.304527858276302,0.345802090054992
22.7,0.0912750342721303,0.0819534387492881,-0.34513225028344,0.152496153203367
