t_val,u_val,du_dt_val,d2u_dt2_val
28,0.427786993218592,0.0568233783036321,-0.107271816503424
28.1,0.432939106831011,0.045984236285505,-0.109136518196448
28.2,0.436991126198885,0.0349901001006761,-0.110663476799632
28.3,0.439927743947391,0.0238757223623558,-0.111839563619251
28.4,0.44174288904463,0.0126673923846737,-0.112664266087549
28.5,0.442439615667466,0.00138300145819981,-0.113149438765002
28.6,0.44201429970248,-0.00995064771535996,-0.113288461123906
28.7,0.440456102133071,-0.0212808737377594,-0.113063407057116
28.8,0.437764093100621,-0.0325611933458045,-0.112471859529373
28.9,0.433944358563731,-0.0437548351163392,-0.11151797869581
29,0.429010000298226,-0.0548347394662489,-0.110212575487759
29.1,0.422978542375857,-0.0657797036876895,-0.108568643956659
29.2,0.415862572457058,-0.0765488678650827,-0.106590825069599
29.3,0.407679218954262,-0.0870981425203363,-0.104291003915736
29.4,0.398451093756811,-0.0973935908477436,-0.101684107825222
29.5,0.388206140615987,-0.107411479620237,-0.098787848275156
29.6,0.376976821327293,-0.11713779861107,-0.0956210866373821
29.7,0.36479317062845,-0.12654519817978,-0.0921981758399938
29.8,0.351685903368716,-0.13559315470042,-0.0885368315596036
29.9,0.337690222570324,-0.144251599018185,-0.0846560364384569
30,0.322845841306125,-0.152501742771833,-0.0805758917222797
30.1,0.30719698269959,-0.160336078393682,-0.0763178386531924
30.2,0.29078976416851,-0.167754836459497,-0.0719001225315373
30.3,0.273664578789714,-0.174735599304008,-0.0673341816018165
30.4,0.255864399923024,-0.181248058026313,-0.0626382819406047
30.5,0.237435055941707,-0.18727185343898,-0.0578295445582369
30.6,0.218425135166717,-0.192796735565147,-0.0529238970036062
30.7,0.198885985866702,-0.197822563638528,-0.0479363499771351
30.8,0.178871298989658,-0.20235895761259,-0.0428804119221464
30.9,0.158428825275837,-0.206405543735645,-0.0377575487315959
31,0.13760781007347,-0.209941059403568,-0.0325815135440952
31.1,0.11646002793304,-0.212949482931243,-0.0273681682602191
31.2,0.0950378108753059,-0.215422249950447,-0.0221297499135975
31.3,0.0733940483912977,-0.217358253409844,-0.0168751777949276
31.4,0.0515821874423246,-0.218763843574992,-0.0116103630323782
31.5,0.0296561268903666,-0.219652747924532,-0.00633829598249142
31.6,0.00766138251040352,-0.220030167800906,-0.00104522260323758
31.7,-0.014348746253782,-0.219884275935311,0.0042543751269967
31.8,-0.0363153692523973,-0.219207969417861,0.00953382646573414
31.9,-0.0581821822538678,-0.217998550975803,0.0147742439055155
32,-0.0798954669448434,-0.216257728973522,0.0199642151838043
32.1,-0.101404090930193,-0.213991617412539,0.0250994982731904
32.2,-0.122659507733007,-0.211210735931511,0.0301827201142632
32.3,-0.143615756794596,-0.20793000980623,0.0352230798441631
32.4,-0.164235730834138,-0.20415204166107,0.0402433615174131
32.5,-0.184468644887335,-0.199869450429023,0.0452244906147411
32.6,-0.204247824511507,-0.195095807709962,0.0501151938469702
32.7,-0.223513706093892,-0.189844595479162,0.0548787072690734
32.8,-0.242213973867937,-0.184129010173321,0.0594927574085542
32.9,-0.260303559913303,-0.177961962690562,0.0639493065242118
33,-0.27774464415586,-0.171356078390432,0.0682543072157418
33.1,-0.294506654367685,-0.164323697093903,0.0724274669975281
33.2,-0.310566086430188,-0.156874347521464,0.0765003113019036
33.3,-0.325887282608047,-0.149001284269234,0.0804611838931869
33.4,-0.340409186112891,-0.140735712543688,0.0842490435343237
33.5,-0.354077618738029,-0.132113419984273,0.087817284029304
33.6,-0.366848710268919,-0.123164345474623,0.0911369148281035
33.7,-0.378688898483158,-0.113912579142554,0.0941963967720468
33.8,-0.389574929150488,-0.104376362360071,0.0970014913218878
33.9,-0.399493856032797,-0.0945680877433594,0.0995751236454624
34,-0.408441418497922,-0.0844941484891268,0.10195312860981
34.1,-0.416387253711565,-0.0741701630683508,0.104104785405748
34.2,-0.42329224699877,-0.0636427324323755,0.10598697863147
34.3,-0.429129358498432,-0.0529545103509135,0.107578721687147
34.4,-0.433880457842069,-0.0421389283980555,0.108870542762605
34.5,-0.437536324153822,-0.0312201959522745,0.109864437001476
34.6,-0.440096646050453,-0.020213300196423,0.110573834151333
34.7,-0.441564692005864,-0.00912869889493905,0.111012604080548
34.8,-0.441926277309771,0.00199503337033269,0.111158796118629
34.9,-0.441173777188344,0.01311245835327,0.111004059718705
35,-0.439306935155699,0.0241878452676074,0.110547409787285
35.1,-0.436332199823116,0.0351951257320677,0.10979363674843
35.2,-0.432262693978577,0.0461178608142881,0.108753306621174
35.3,-0.427110249765311,0.0569350234607695,0.107430033886102
35.4,-0.420883337395786,0.0676055903870593,0.105823098504751
35.5,-0.413596612017077,0.0780946982329802,0.10393834100135
35.6,-0.405269522456445,0.0883763040826884,0.101783474614188
35.7,-0.395926295684411,0.0984333424661876,0.099368102750173
35.8,-0.385592598298957,0.108249839503955,0.096699464333926
35.9,-0.37429146946874,0.117787391330249,0.0937841892066275
36,-0.362049744980542,0.127011533395789,0.0906313489817855
36.1,-0.348899044138433,0.135898020552982,0.0872519723366704
36.2,-0.334875769763772,0.144432827055924,0.0836592453259682
36.3,-0.320020337265753,0.152611594627411,0.0798670720651348
36.4,-0.304368947302046,0.160416833121137,0.0758811292882627
36.5,-0.287957579366316,0.167812286802677,0.0717119010525965
36.6,-0.270826070563976,0.174770085968483,0.0673715437989666
36.7,-0.253017950671294,0.18127240474633,0.0628728984744747
36.8,-0.234580442135395,0.187311461095308,0.0582297527189371
36.9,-0.215564347053752,0.192889472345988,0.053456850885971
37,-0.196016565935501,0.198004447067778,0.0485585728352523
37.1,-0.175982678307079,0.20262929393141,0.0435461156238997
37.2,-0.155511858937985,0.206740389979019,0.038435790618832
37.3,-0.134654955964199,0.210322619993168,0.0332419951517077
37.4,-0.113464490888181,0.21336937649686,0.0279775131578238
37.5,-0.0919946585788742,0.215882559753529,0.022653819671573
37.6,-0.0703010713866934,0.217872384592415,0.0172808452921584
37.7,-0.0484318473954675,0.2193400914125,0.0118536512290648
37.8,-0.0264412921675448,0.220269129833904,0.00639135330872137
37.9,-0.00438756006252108,0.220647833015886,0.000920250355450764
38,0.0176726877883503,0.220470375329512,-0.00453969747267957
38.1,0.0396842834821652,0.219736772357653,-0.0099745572350412
38.2,0.0615935523443668,0.218452880894982,-0.015376113325448
38.3,0.0833483129287443,0.216630398947977,-0.0207415599295282
38.4,0.104898993425647,0.214284692708169,-0.026074901098306
38.5,0.126202278598063,0.211408929699447,-0.0313828340985028
38.6,0.147195550434296,0.208006133720981,-0.0366265825733379
38.7,0.16781674441069,0.204086062326454,-0.0417696853575802
38.8,0.188009551483546,0.199659368214501,-0.0467877976584196
38.9,0.207723418089127,0.194737599228712,-0.0516684133596608
39,0.226913546143651,0.189333198357633,-0.0564105948183422
39.1,0.245540893043292,0.183459503734761,-0.0610247108291547
39.2,0.263573523541237,0.177127703594924,-0.0655340405824184
39.3,0.280980622969157,0.170329716953731,-0.0699510033003297
